original_sponsor,clustered_sponsor
NEW YORK STATE HOTEL ASSOCIATION,New York State Hotel Association
GLEN FALLS CLUB,Glen Falls Club
MASSACHUSETTS PROHIBITION STATE COMMITTEE,Massachusetts Prohibition State Committee
U.S.M.A. (UNITED STATES MILITARY ACADEMY?),U.S.M.A. United States Military Academy
NEW ORLEANS STOCK EXCHANGE,New Orleans Stock Exchange
INTERLAKE YACHTING ASSOCIATION,Interlake Yachting Association
MEXICAN-AMERICAN S.S. CO.,Mexican-american S.S. Co.
THE LAKEWOOD,The Lakewood
THE BUSINESS MEN'S LEAGUE OF ST. LOUIS,The Business Mens League Of St. Louis
H.D. BRISTOL'S OYSTER & CHOP HOUSE,H.D. Bristols Oyster & Chop House
NEW YORK CITY,New York City
ADOLPH WALDHEIM'S,Adolph Waldheims
PROVIDENCE LINE,Providence Line
U.S.S.S.RALEIGH,U.S.S.S.Raleigh
DOWAGER QUEEN MARGHERITA OF ITALY,Dowager Queen Margherita Of Italy
HOTEL MEN'S MUTUAL BENEFIT ASSOCIATION,Hotel Mens Mutual Benefit Association
ASSOCIATION OF LIFE INSURANCE MEDICAL DIRECTORS,Association Of Life Insurance Medical Directors
HEALY'S OYSTER AND CHOP HOUSE,Healys Oyster And Chop House
MR. LOUIS N. MEGARGEE,Mr. Louis N. Megargee
ANCIENT ACCEPTED SCOTTISH RITE OF FREEMASONRY,Ancient Accepted Scottish Rite Of Freemasonry
BANCHETTISSIMO DEI GIORNALISTI,Banchettissimo Dei Giornalisti
CITY OF VILLE DE VILLENEUVE-SUR-LOT,City Of Ville De Villeneuve-sur-lot
MARQUETTE CLUB,Marquette Club
HOTEL WINDERMERE,Hotel Windermere
THE NEW YORK STATE BANKERS ASSOCIATION,The New York State Bankers Association
EPITAUX'S RESTAURANT,Epitauxs Restaurant
Pan American,Pan American
Mirabelle,Mirabelle
The Hawes Inn,The Hawes Inn
Kronenhalle,Kronenhalle
Hotel Okura,Hotel Okura
Hostaria dell'Orso,Hostaria Dellorso
Hotel de Paris,Hotel De Paris
Ritz Carlton,Ritz Carlton
Oak Room,Oak Room
Grill Relais Plaza ,Grill Relais Plaza
The Garden,The Garden
Hotel Kurhaus,Hotel Kurhaus
Cafe zur Frauenkirche ,Cafe Zur Frauenkirche
Zu Gastin Grauhof,Zu Gastin Grauhof
Statler Hilton,Statler Hilton
Falcke Charlottenburger Pilsner-Stuben,Falcke Charlottenburger Pilsner-stuben
Denver and Rio Grande Western Railroad,Denver And Rio Grande Western Railroad
The San Diegan,The San Diegan
The San Francisco Cabinet National Union,The San Francisco Cabinet National Union
Hotel Gramercy Park,Gramercy Park Hotel
Culinary Institute Of America,Culinary Institute Of America
The Waldorf Astoria,The Waldorf Astoria
Maryland Inn,Maryland Inn
M/V Island Princess,Mv Island Princess
Rob Roy,Rob Roy
19th Hole,19th Hole
The Oxbow Inn   The Groggery,The Oxbow Inn The Groggery
Phillips Crab House,Phillips Crab House
The Pierre,The Pierre
Hotel Biltmore,Hotel Biltmore
Henrici's,Henricis
The Kingsville Inn,The Kingsville Inn
The Ambassador,The Ambassador
Coffee House,Coffee House
'Kaffee Restaurant Und BrÃ¤ustÃ¼bl \Tiefer Keller\''''',Kaffee Restaurant Und Braoustahbl Tiefer Keller
Brookbend Inn,Brookbend Inn
Blair House,Blair House
Scoma's,Scomas
China Garden Restaurant,China Garden Restaurant
WÃ¤rdshuset StallmÃ¤staregÃ¥rden,Waordshuset Stallmaostarega¥rden
Le Parlement D'hiver De La Commanderie De Bordeaux,Le Parlement Dhiver De La Commanderie De Bordeaux
Ski House   Badger Pass,Ski House Badger Pass
El Charro,El Charro
Frontera Grill,Frontera Grill
Highlands Inn And Pacific's Edge Restaurant,Highlands Inn And Pacifics Edge Restaurant
Museum Restaurant And Bar,Museum Restaurant And Bar
Dal Pescatore,Dal Pescatore
The Winery,The Winery
The Crab Tree,The Crab Tree
Suburban Cocktail Lounge,Suburban Cocktail Lounge
The Kansas Cityan Chicagoan,The Kansas Cityan Chicagoan
The Edgewater Restaurant,The Edgewater Restaurant
The Chicago Line,The Chicago Line
La Petite Suisse,La Petite Suisse
'S.S. ''Bremen''''''',S.S. Bremen
Royal Hawaiian Hotel,Royal Hawaiian Hotel
Lido,Lido
Guilford Lakes Clubhouse,Guilford Lakes Clubhouse
Hotel Lafayette/Hotel Brevoort,Hotel Lafayettehotel Brevoort
Teco Inn,Teco Inn
69th Infantry Armory,69th Infantry Armory
Hotel Columbia and Cottages,Hotel Columbia And Cottages
Strand Roof,Strand Roof
New York Hospital,New York Hospital
[Restaurant name and/or location not given] ,restaurant Name Andor Location Not Given
Hotel St. Andrew,Hotel St. Andrew
Old Faithful Inn,Old Faithful Inn
Tokio Restaurant,Tokio Restaurant
Hunts Point Palace,Hunts Point Palace
E. Ettinger CafÃ© and Restaurant,E. Ettinger Cafac And Restaurant
Merchants Club,Merchants Club
Hotel Kaaterskill,Hotel Kaaterskill
Chamber of Commerce,Chamber Of Commerce
PACIFIC MAIL STEAMSHIP COMPANY,Pacific Mail Steamship Company
RED STAR LINE,Red Star Line
CHICAGO BAR ASSOCIATION,Chicago Bar Association
HOTEL ST. ANDREW,Hotel St. Andrew
COTTON BELT RAILROAD ROUTE,Cotton Belt Railroad Route
MANGLER'S,Manglers
D&H DINING CAR SERVICE,D&h Dining Car Service
TULANE HOTEL,Tulane Hotel
RED STAR LINE - ANTWERPEN  NY,Red Star Line - Antwerpen - Ny
STATLER'S HOTEL,Statlers Hotel
CHRYSANTHEMUM CLUB OF THE U.S. FLAGSHIP TEXAS,Chrysanthemum Club Of The U.S. Flagship Texas
THE PORTLAND,The Portland
Diner Restaurant,Diner Restaurant
THE WENTWORTH,The Wentworth
SPORTSMANS GRILL,Sportsmans Grill
WAUMBEK,Waumbek
AMERICAN BANKERS' ASSOCIATION,American Bankers Association
THE WINDSOR,The Windsor
AMSTEL-HOTEL,Amstel-hotel
THE BANKERS CLUB OF CHICAGO,The Bankers Club Of Chicago
MILITARY ORDER OF THE LOYAL LEGION OF THE UNITED STATES COMMANDERY OF THE STATE OF MAINE,Military Order Of The Loyal Legion Of The United States Commandery Of The State Of Maine
ROYAL LITERARY FUND,Royal Literary Fund
ALBANY ZOUAVE CADETS - OLD GUARD,Albany Zouave Cadets - Old Guard
FABYAN HOUSE,Fabyan House
MISSOURI SOCIETY,Missouri Society
THE MODERN DINING ROOM,The Modern Dining Room
INDIANA STATE SOLDIERS' HOME,Indiana State Soldiers Home
BOOST CLUB,Boost Club
(HARVARD?),Harvard
COLBY ACADEMY,Colby Academy
FRIENDS OF MR. D. ALLEN,Friends Of Mr. D. Allen
ANCIENT & ACCEPTED SCOTTISH RITE,Ancient & Accepted Scottish Rite
GEORGE THOMSON WILSON,George Thomson Wilson
RESTAURANT BUEROSE,Restaurant Buerose
(GERMAN FEDERAL GUNNERS?) DEUTSCHES BUNDESSCHIESSEN,German Federal Gunners Deutsches Bundesschiessen
MEDICAL SOCIETY OF THE STATE OF NEW YORK,Medical Society Of The State Of New York
CHILD'S LUNCH ROOMS,Childs Lunch Rooms
GOVERNORS OF THE QUEEN CITY CLUB,Governors Of The Queen City Club
FIRST COMPANY-7NTH REGIMENT,First Company-7nth Regiment
NATIONAL ARTS CLUB,National Arts Club
NEW ENGLAND CLAM BAKE AND RESTAURAN,New England Clam Bake And Restauran
MERCHANTS OF THE TWENTIETH PRECINCT,Merchants Of The Twentieth Precinct
MERCHANT TAILOR'S NATIONAL PROTECTIVE ASSOCIATION OF AMERICA,Merchant Tailors National Protective Association Of America
VETERAN CORPS FIRST REGIMENT INFANTRY N.G.P.,Veteran Corps First Regiment Infantry N.G.P.
LOS REPRESEMTAMTES DOPLOMATICOS DE LAS REPUBLICAS DE CENTRO AMERICA,Los Represemtamtes Doplomaticos De Las Republicas De Centro America
ALBANY MEMBERS OF THE NEW YORK STATE STENOGRAPHERS'ASSOCIATION,Albany Members Of The New York State Stenographersassociation
Jonathans',Jonathans
Club 31,Club 31
Gambrinus,Gambrinus
el Morocco,El Morocco
Hotel Antigua,Hotel Antigua
Wienercafe Restaurant,Wienercafe Restaurant
Drug Store,Drug Store
Sitar,Sitar
Le Duc,Le Duc
Applebys,Applebys
Humplmayr Grill,Humplmayr Grill
Musicians Mutual Protective Union of San Francisco,Musicians Mutual Protective Union Of San Francisco
'Crusader,Crusader
Ss Rotterdam,Ss Rotterdam
China Airlines,China Airlines
Galeries Lafayette Restaurant,Galeries Lafayette Restaurant
Bay Head Yacht Club,Bay Head Yacht Club
Wichita Club,Wichita Club
Brook Hollow Golf Club,Brook Hollow Golf Club
Safari Hotel,Safari Hotel
Hilton Hawaiian Village,Hilton Hawaiian Village
Dale's,Dales
S.S. Santa Paula,S.S. Santa Paula
Rattazzi,Rattazzi
The Maine Maid,The Maine Maid
Conti's,Contis
Caliente Cab Co.,Caliente Cab Co.
American Restaurant,American Restaurant
The Granary,The Granary
Kuenning's Midtown Restaurant,Kuennings Midtown Restaurant
The Hearthstone,The Hearthstone
Oakland Chamber Of Commerce,Oakland Chamber Of Commerce
Penn Hotel,Penn Hotel
Ristorante Centrale,Ristorante Centrale
Meat 'N Taters,Meat N Taters
Crystal Ball Room,Crystal Ball Room
Ice Terrace,Ice Terrace
Rotary Club De Buenos Aires,Rotary Club De Buenos Aires
Hotel Mark Hopkins,Hotel Mark Hopkins
Pomeroy's,Pomeroys
'R.M.S. ''Parthia''''''',R.M.S. Parthia
The Benjamin Franklin,The Benjamin Franklin
[Soo Line Railroad Company],soo Line Railroad Company
Fort Montagu Beach Hotel,Fort Montagu Beach Hotel
The Jefferson,The Jefferson
The Commodore,The Commodore
The Hotel Sir Walter,The Hotel Sir Walter
Shanghai Food Shop Incorporated,Shanghai Food Shop Incorporated
TrÃ¤dgÃ¥rdsfÃ¶reningens,Traodga¥rdsfaJreningens
The National Arts Club,The National Arts Club
Quill Club,Quill Club
Hotel Agua Caliente,Hotel Agua Caliente
Casino,Casino
Hotel Somerset,Hotel Somerset
Thayer's Hotel,Thayers Hotel
Guffanti's Table d'HÃ´te ,Guffantis Table Dha´te
Hotel Deming,Hotel Deming
Hotel Westminster,Hotel Westminster
Astor House,Astor House
Marie Antoinette Hotel,Hotel Marie Antoinette
New Willard,New Willard
COLBY ALUMNI ASSOCIATION OF NEW YORK,Colby Alumni Association Of New York
DEL CORONADAO HOTEL,Del Coronadao Hotel
MILLS HOTEL RESTAURANT,Mills Hotel Restaurant
SHANLEY BROS. OYSTER HOUSES & GRILL ROOM,Shanley Bros. Oyster Houses & Grill Room
U.S.M.S,U.S.M.S
U.S.M.S. ST. LOUIS,U.S.M.S. St. Louis
ELECTRIC TOWER RESTAURANT,Electric Tower Restaurant
ASCHINGER'S BIER-QUELLE,Aschingers Bier-quelle
NIPPON YUSEN KAISHA -S.S.NASUGA,Nippon Yusen Kaisha - S.S.Nasuga
OCEANIC STEAMSHIP CO.- SIERRA,Oceanic Steamship Co. - Sierra
ROGERS' CHOP HOUSE AND RESTAURANT,Rogers Chop House And Restaurant
BOSTON OYSTER HOUSE,Boston Oyster House
COMMERCIAL CLUB OF CHICAGO,Commercial Club Of Chicago
(PHI DELTA PHI FRATERNITY),Phi Delta Phi Fraternity
THE IDEALA CLUB,The Ideala Club
NORTHERN PACIFIC RAILWAY,Northern Pacific Railway
PACIFIC MAIL STEAMSHP COMPANY,Pacific Mail Steamshp Company
UNION CLUB,Union Club
A.W. DENNETT,A.W. Dennett
CHAPTER OF (PENNSYLVANIA?) EPSILON,Chapter Of Pennsylvania Epsilon
ROYAL POINCIANA,Royal Poinciana
BOSTON BOOT AND SHOE CLUB,Boston Boot And Shoe Club
DEPARTMENT OF CITY CONTROLLER,Department Of City Controller
THE WORTHY,The Worthy
CADET QUARTETTE U.S.ARMY,Cadet Quartette U.S.Army
BRIGGS HOUSE,Briggs House
BELVEDERE HOUSE;,Belvedere House;
THE CANTON SOCIETY OF NEW YORK,The Canton Society Of New York
TERMINAL STATION LUNCH ROOM,Terminal Station Lunch Room
(CLEVELAND BAR?),Cleveland Bar
HOTEL PAISER HOP,Hotel Paiser Hop
RHODE ISLAND SOCIETY OF THE SONS OF THE AMERICAN REVOLUTIO,Rhode Island Society Of The Sons Of The American Revolutio
LAUREL HOUSE,Laurel House
EMPIRE STATE SOCIETY SONS OF THE AMERICAN REVOLUTION,Empire State Society Of Sons Of The American Revolution
HOTEL NICOLLET CAFE',Hotel Nicollet Cafe
WILEY & HASKELL,Wiley & Haskell
NORFOLK AND WASHINGTON SS. CO.,Norfolk And Washington Ss. Co.
KNICKERBOCKER HOTEL RESTAURANT,Knickerbocker Hotel Restaurant
DR. HEBER JONES' FRIENDS,Dr. Heber Jones Friends
THE THIRTEEN CLUB,The Thirteen Club
CLASS OF '88,Class Of 88
NATIONAL BD  OF TRADE,National Bd Of Trade
PRINCETON CLUB OF NEW YORK,Princeton Club Of New York
FRIENDS OF WILLIAM M. BUNN,Friends Of William M. Bunn
AMERICAN PAPER MANUFACTURERS' ASSOCIATION,American Paper Manufacturers Association
C0MMERCIAL CLUB OF CINCINNATI,C0mmercial Club Of Cincinnati
NEW YORK SOUTHEN SOCIETY,New York Southen Society
D.A.R.- MOHAWK CHAPTER,D.A.R.- Mohawk Chapter
UNIVERSITY OF THE CITY OF NEW YORK,University Of The City Of New York
PSI UPSILON OF PHILADELPHIA,Psi Upsilon Of Philadelphia
NEW YORK LUMBER TRADE ASSOCIATION,New York Lumber Trade Association
Swissair,Swissair
The Traveller's Club,The Travellers Club
Hotel Drei Konige am Rhein,Hotel Drei Konige Am Rhein
Restaurant La Gousse D'Ail,Restaurant La Gousse Dail
I Tre Merli Bistro,I Tre Merli Bistro
India House,India House
Stammhaus,Stammhaus
Hotel Erbprinz,Hotel Erbprinz
ChinChin,Chinchin
Rotisserie de la Table du Roy (Le chef Georges),Rotisserie De La Table Du Roy Le Chef Georges
Hotel Restaurant Schutzer Hof,Hotel Restaurant Schutzer Hof
Hampshire House,Hampshire House
The Moghul Room,The Moghul Room
The Bowman Room Of The Biltmore,The Bowman Room Of The Biltmore
Chillingsworth,Chillingsworth
The Connecticut Room Hartford Plaza Building,The Connecticut Room Hartford Plaza Building
Horn & Hardart,Horn & Hardart
Sheraton Plaza Hotel,Sheraton Plaza Hotel
Americana Hotel,Americana Hotel
Marriott Motor Hotel,Marriott Motor Hotel
Trader Vic's,Trader Vics
Mamma Leone's Ristortante,Mamma Leones Ristortante
American Festival CafÃ©,American Festival Cafac
Shezan,Shezan
Wednesday's,Wednesdays
Werkgasthaus HÃ¼ttenwerk Rheinhausen,Werkgasthaus Hahttenwerk Rheinhausen
Cast StÃ¤tte Leopold,Cast Staotte Leopold
Chinesisches Restaurant,Chinesisches Restaurant
Mayflower Restaurant,Mayflower Restaurant
The Burger Boys Of Brooklyn,The Burger Boys Of Brooklyn
The Composer,The Composer
Bangkok Cuisine,Bangkok Cuisine
United Airlines,United Airlines
Papadakis Taverna,Papadakis Taverna
Grand Motor Hotel,Grand Motor Hotel
Ocean Restaurant,Ocean Restaurant
Keaton's,Keatons
Imperator Concorde,Imperator Concorde
Bill's Seafood Ship CafÃ©,Bills Seafood Ship Cafac
The Maxwell House,The Maxwell House
La Posada,La Posada
Luccioni's,Luccionis
Rosoff's,Rosoffs
Garden Room,Garden Room
Green Briar,Green Briar
Chocorua Inn,Chocorua Inn
Hotel Du Pont,Hotel Du Pont
Nick Bates' Merry Go Round Bar,Nick Bates Merry Go Round Bar
Hotel New Weston,Hotel New Weston
Kurhotel Petersberg,Kurhotel Petersberg
Green's,Greens
Empire State Observatory,Empire State Observatory
All Souls Men's Club,All Souls Mens Club
The Receiving Ship at New York,The Receiving Ship At New York
Riverside Dining Room,Riverside Dining Room
Commercial Club,Commercial Club
Hotel Sherman,Hotel Sherman
Garret Restaurant,Garret Restaurant
Richmond Restaurant,Richmond Restaurant
Seelbach Hotel,Seelbach Hotel
Grand Hotel Hungaria,Grand Hotel Hungaria
Crawford's,Crawfords
Gerdner & Smith,Gerdner & Smith
RECTOR'S,Rectors
LEGATION DES ETAT-UNIS D'AMERIQUE,Legation Des Etat-unis Damerique
HOTEL DU MUSEE,Hotel Du Musee
COOK'S NILE SERVICE,Cooks Nile Service
ARMSTRONG AND CO.,Armstrong And Co.
STANTON HOUSE,Stanton House
NORTH CAROLINA SOCIETY OF NEW YORK,North Carolina Society Of New York
HOTEL COLORADO,Hotel Colorado
TERRACE GARDEN RESTAURANT,Terrace Garden Restaurant
DE L'ANGE HOTEL,De Lange Hotel
NIPPON YUSEN KAISHA - S.S.ROSETTA MAM,Nippon Yusen Kaisha - S.S.Rosetta Mam
OCEANIC STEAMSHIP CO. - SONOMA,Oceanic Steamship Co. - Sonoma
NY CITY HOTEL ASSOCIATION,Ny City Hotel Association
HOTEL ALGAZAR,Algazar Hotel
MILITARY COMPANY OF ALBANY,Military Company Of Albany
IDAN-HA HOTEL,Idan-ha Hotel
HARVARD COLLEGE,Harvard College
Unknown,Unknown
DEPARTMENT OF NEW YORK GRAND ARMY REPUBLIC,Department Of New York Grand Army Republic
CITIZENS OF CHICAGO,Citizens Of Chicago
HERVORRAGENDSTEN NEW YORKER VEREINE,Hervorragendsten New Yorker Vereine
PENNYSLVANIA RAILROAD COMPANY,Pennyslvania Railroad Company
ALLEGHENY COUNTY BAR ASSOCIATION,Allegheny County Bar Association
NEW ENGLAND SCIETY IN THE CITY OF NEW YORK,New England Sciety In The City Of New York
FLATIRON RESTAURANT & CAFE,Flatiron Restaurant & Cafe
HARLEM DEMOCRATIC CLUB,Harlem Democratic Club
ST. GEORGE'S SOCIETY OF THE CITY OF NEW YORK,St. Georges Society Of The City Of New York
MILITARY ORDER OF THE LOYAL LEGION OF THE UNITED STATES.  COMMANDERY OF THE STATE OF MINNESOTA,Military Order Of The Loyal Legion Of The United States Commandery Of The State Of Minnesota
WILLARDS HOTEL,Willards Hotel
FRIENDLY SONS OF ST. PATRICK OF CINCINNATI,Friendly Sons Of St. Patrick Of Cincinnati
ASSOCIATION OF AVERAGE ADJUSTERS,Association Of Average Adjusters
GEISER GRAND,Geiser Grand
FLORIDA ENCAMPMENT NO. 1,Florida Encampment No. 1
STATIONERS' BOARD OF TRADE,Stationers Board Of Trade
THE NATIONAL FEDERATION OF AMERICA,The National Federation Of America
BELLECLAIRE CLUB,Belleclaire Club
GRAND HOTEL DE LONDRES,Grand Hotel De Londres
CHANCELLOR WALWORTH LODGE NO.271 AND A.M.,Chancellor Walworth Lodge No.271 And A.M.
SOCIETY OF SONS OF THE REVOLUTION IN THE STATE OF MISSOURI,Society Of Sons Of The Revolution In The State Of Missouri
NAETHING BROS.,Naething Bros.
(SPIDESEDDEL ?),Spideseddel 
COMMERCIAL CLUB,Commercial Club
NEW YORK TEAM OWNERS' ASSOCIATION,New York Team Owners Association
Restaurant & Bierstube zum Stadtheller,Restaurant & Bierstube Zum Stadtheller
Chipen,Chipen
Benrather Hof,Benrather Hof
Oustau de Baumaniere,Oustau De Baumaniere
Victorian,Victorian
Le Relais Napoleon,Le Relais Napoleon
FREDERIC BACOU,Frederic Bacou
Seehotel Uberfahrt,Seehotel Uberfahrt
Union Pacific Railroad,Union Pacific Railroad
'M.S. \Sagafjord\''''',M.S. Sagafjord
Brentwood Inn,Brentwood Inn
'Lunch [Sponsored By] Maxwell's Plum [At] 64th Street And First Ave.,Lunch sponsored By Maxwells Plum at 64th Street And First Ave.
Host International,Host International
Cloud Club,Cloud Club
Eagle Restaurant,Eagle Restaurant
Vorst's Century Sea Grill,Vorsts Century Sea Grill
Anglo German Club Hamburg,Anglo German Club Hamburg
Castle Restaurant,Castle Restaurant
The Tavern On The Green,Tavern On The Green
The House Of Whitbread,The House Of Whitbread
The Grand Ticino,The Grand Ticino
Le Chateau Richelieu,Le Chateau Richelieu
Hotel Waldhaus Sils Maria,Hotel Waldhaus Sils Maria
The Causerie,The Causerie
Rib Room,Rib Room
Im Haus Der Kunst,Im Haus Der Kunst
Coffee Shop,Coffee Shop
S.S. Liberty,S.S. Liberty
Maison De France,Maison De France
Hotel Flora,Hotel Flora
BÅ±rger Stuben,Bå±rger Stuben
Eden Roc Pavilion,Eden Roc Pavilion
Hotel Schweizerhof,Hotel Schweizerhof
Union Pacific  Railroad,Union Pacific Railroad
Volvos Vagnsfest,Volvos Vagnsfest
Eaton's Chicken House,Eatons Chicken House
Restaurant Mayan,Mayan Restaurant
St. Francis Hotel,Hotel St. Francis
The White Turkey Town House,The White Turkey Town House
Grove Park Inn,Grove Park Inn
Aviation Terrace,Aviation Terrace
Hotel Saskatchewan,Hotel Saskatchewan
Hotel Vancouver,Hotel Vancouver
Astor Tavern,Astor Tavern
Yale Club,Yale Club
The Portland,The Portland
U.S.S. North Dakota,U.S.S. North Dakota
Hotel Royal - Rome,Hotel Royal - Rome
Reformed Church of Harlem,Reformed Church Of Harlem
The New Mills Hotel,The New Mills Hotel
Drug and Chemical Club,Drug And Chemical Club
The Hotel Ten Eyck,The Hotel Ten Eyck
Harmonie Hall,Harmonie Hall
Narragansett Hotel,Narragansett Hotel
Jansen's Restaurant,Jansens Restaurant
Woolworth Building,Woolworth Building
Travers Island,Travers Island
MRS CLUFF,Mrs Cluff
CALUMET CLUB OF NEW YORK,Calumet Club Of New York
HOTEL MAJESTIC,Hotel Majestic
CRISTOFORO COLOMBO RESTAURANT,Cristoforo Colombo Restaurant
COSMOPOLITAN HOTEL,Cosmopolitan Hotel
NEW YORK PRESS CLUB,New York Press Club
BRITISH SCHOOLS AND UNIVERSITIES CLUB,British Schools And Universities Club
GRAND HOTEL DE STE-MAXIME,Grand Hotel De Ste-maxime
PACIFIC MAIL STEAMSHIP CO./TRANS PACIFIC LINE,Pacific Mail Steamship Co.Trans Pacific Line
PALACE HOTEL RESTAURAT AND LADIES GRILL ROOM,Palace Hotel Restaurat And Ladies Grill Room
WALDHAUS AROSA,Waldhaus Arosa
CRAWFORD HOUSE,Crawford House
HAMBURG-AMERICA LINIE,Hamburg-america Linie
INCORPORATED INSTITUTE OF ACCOUNTANTS,Incorporated Institute Of Accountants
AMERICAN EMBASSY,American Embassy
FREIGHT & PASSENGER AGENTS' ASSOCIATION OF NEW YORK CITY,Freight & Passenger Agents Association Of New York City
RIVERS AND HARBORS COMMITTEE,Rivers And Harbors Committee
CONTRACTING PLASTERERS' ASSOCIATION,Contracting Plasterers Association
CRIBB CLUB,Cribb Club
18TH CLUB,18th Club
(KING VICTOR EMMANUAL OF ITALY?),King Victor Emmanual Of Italy
BRAGUGLIA & CARRENO'S,Braguglia & Carrenos
AMERICAN GAS LIGHT ASSOCIATION,American Gas Light Association
MERCANTILE CLUB,Mercantile Club
GLEN ISLAND HOTEL,Glen Island Hotel
YE NEW YORK CHAPTER OF YE COLONIAL ORDER,Ye New York Chapter Of Ye Colonial Order
ROBERT EMMET MAC ALARNEY,Robert Emmet Mac Alarney
CHICAGO AUTOMOBILE CLUB,Chicago Automobile Club
POLAND SPRING HOTEL,Poland Spring Hotel
ILLINOIS SOCIETY OF NEW YORK,Illinois Society Of New York
HOTEL HANOVER,Hotel Hanover
(MRS.W.D.SLOANE),Mrs.W.D.Sloane
ANCIENT & HONORABLE ARTILLERY COMPANY OF MASS.,Ancient & Honorable Artillery Company Of Mass.
(EMPEROR NICHOLAS II,Emperor Nicholas Ii
AMERICAN COLONY OF PARIS,American Colony Of Paris
FLATIRON RESAURANT AND CAFE,Flatiron Resaurant And Cafe
HOTEL ST. JAMES,Hotel St. James
LEINSTER REGIMENT,Leinster Regiment
MENZIES'HOTEL,Menzieshotel
AMMERICAN ART ASSOCIATION OF PARIS,Ammerican Art Association Of Paris
THE FELLOWSHIP CLUB OF CHICAGO,The Fellowship Club Of Chicago
THE FRIARS,The Friars
JUNKET CLUB,Junket Club
MILITARY ORDER OF THE LOYAL LEGION OF THE UNITED STATES,Military Order Of The Loyal Legion Of The United States
TIPITY WICHITY CLUB,Tipity Wichity Club
INTER COASTAL CANAL COMMITTEE,Inter Coastal Canal Committee
CINCINNATI SOCIETY,Cincinnati Society
ST. GEORGE'S SOCIETY OF THE CITY OF NY,St. Georges Society Of The City Of Ny
THE DAILY NEWS,The Daily News
(TRAVELERS' PROTECTIVE ASS'N.),Travelers Protective Assn.
LOUISIANA SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION,Louisiana Society Of The Sons Of The American Revolution
SHANLEY'S RESTAURANT,Shanleys Restaurant
Victorian Lounge,Victorian Lounge
l'Excuse,Lexcuse
Palace Hotel,Palace Hotel
Inagiku,Inagiku
New York Friars Club,New York Friars Club
L.W.C. Michelsen,L.W.C. Michelsen
The Box Tree,The Box Tree
Advertising Club and The Downtown Association,Advertising Club And The Downtown Association
Chew's Cafe,Chews Cafe
Gramercy Park hotel,Gramercy Park Hotel
Zunfthaus Zur Zimmerleuten Zurich,Zunfthaus Zur Zimmerleuten Zurich
Concorde,Concorde
'S/S \Leonardo Da Vinci\''''',Ss Leonardo Da Vinci
Golden China,Golden China
Ol' South Restaurant And Bar,Ol South Restaurant And Bar
Andechser KlostergaststÃ¤tten,Andechser Klostergaststaotten
Latin Quarter,Latin Quarter
Promenade CafÃ©,Promenade Cafac
The Blacksmith House Bakery & CafÃ©,The Blacksmith House Bakery & Cafac
Santa Maria,Santa Maria
WÃ¶lfel,WaJlfel
Lite House,Lite House
Jockey Club Mexicano,Jockey Club Mexicano
Schwarzwalder's Natur Weinhaus,Schwarzwalders Natur Weinhaus
The Ballroom At Hotel Delmonico,The Ballroom At Hotel Delmonico
Crystal Room,Crystal Room
The Terrace Room,The Terrace Room
Hotel Brickman,Hotel Brickman
Toots Shor,Toots Shor
Geronimo,Geronimo
Zen Palate,Zen Palate
Lou Walter's Latin Quarter,Lou Walters Latin Quarter
Churchill's,Churchills
The Flame Restaurant,The Flame Restaurant
Hotel Duke Of Windsor,Hotel Duke Of Windsor
S.S. Manhattan,S.S. Manhattan
'Paquebot ''Paris''''''',Paquebot Paris
Victoria Hotel,Hotel Victoria
'''Conte Biancamano''''''',Conte Biancamano
Hotel de Soto,Hotel De Soto
Ships Operating in Atlantic and Gulf Service,Ships Operating In Atlantic And Gulf Service
The Windosr,The Windosr
Hotel Marlborough ,Hotel Marlborough
The Balsams,The Balsams
CafÃ© des Beaux-Arts,Cafac Des Beaux-arts
Hotel Sterling,Hotel Sterling
Riggs,Riggs
Metropolitan Life Insurance Company Tuberculosis Sanatorium for Employees,Metropolitan Life Insurance Company Tuberculosis Sanatorium For Employees
Oneco Hotel,Oneco Hotel
Ritz-Carlton,Ritz-carlton
Hotel Montclair,Hotel Montclair
Hotel Iroquois,Hotel Iroquois
Model Restaurant,Model Restaurant
PIONEER DINING CAR LINE,Pioneer Dining Car Line
USMS NEW YORK,U.S.M.S New York
ARLINGTON HOTEL,Arlington Hotel
HARLOW & KUCHLIN RESTAURANT OYSTER & CHOP HOUSE,Harlow & Kuchlin Restaurant Oyster & Chop House
(ALTA VISTA HOTEL),Alta Vista Hotel
NIPPON YUSEN KAISHA -S.S.KOBE MARU,Nippon Yusen Kaisha - S.S.Kobe Maru
NATIONAL LIFE INSURANCE CO.,National Life Insurance Co.
CIVIL SERVICE REFORM ASSOCIATION OF NEW YORK,Civil Service Reform Association Of New York
HICKS' RESTAURANT,Hicks Restaurant
ENGEL HOTEL,Engel Hotel
CHAMPAGNE DUC DE MONTEBELLO (?),Champagne Duc De Montebello 
OCEANIC STEAMSHIP,Oceanic Steamship
COLSON HOTEL,Colson Hotel
STATE SOCIETY OF THE CINCINNATI OF PENNSYLVANIA,State Society Of The Cincinnati Of Pennsylvania
THE BEACON SOCIETY OF BOSTON,The Beacon Society Of Boston
THE H.C. BROWN PALACE HOTEL,The H.C. Brown Palace Hotel
